"Date"	"MSFT"	"F"	"CRAY"	"GOOG"	"HPQ"	"YHOO"	"JAVA"	"DELL"	"AAPL"	"IBM"	"LNVGY"	"CSCO"	"BAC"	"INTC"	"AMD"	"SNE"	"NVDA"	"AMZN"	"CREAF"	"EK"
01/03/05	26.74	14.71	19.00	202.71	21.05	38.18	20.44	41.79	31.64	97.75	6.10	19.32	46.46	23.07	21.41	38.71	7.86	44.52	14.88	32.48
01/04/05	26.84	14.66	17.36	194.50	20.91	36.58	18.52	40.52	31.97	96.70	5.95	18.56	45.82	22.61	20.21	38.00	7.49	42.14	14.30	32.49
01/05/05	26.78	14.43	16.52	193.51	21.00	36.13	18.80	40.25	32.25	96.50	5.60	18.57	45.25	22.39	19.75	37.95	7.56	41.77	14.36	32.35
01/06/05	26.75	14.45	16.48	188.55	20.96	35.43	18.40	40.18	32.28	96.20	5.50	18.85	45.22	22.46	19.72	37.88	7.49	41.05	14.11	31.90
01/07/05	26.67	14.65	15.64	193.85	20.84	35.96	18.48	40.19	34.62	95.78	5.50	18.72	44.73	22.80	19.92	38.22	7.35	42.32	14.57	31.20
01/10/05	26.80	14.55	16.00	195.06	20.81	36.32	18.44	40.97	34.48	95.68	5.60	18.72	45.29	22.88	20.13	38.75	7.36	41.84	15.12	31.33
01/11/05	26.73	14.43	15.60	193.54	20.05	35.66	18.12	41.08	32.28	95.00	5.65	18.64	45.18	22.54	14.86	39.06	7.14	41.64	15.63	31.05
01/12/05	26.78	14.32	15.76	195.38	20.04	36.14	18.44	40.93	32.73	95.21	5.65	18.93	45.06	23.16	15.02	39.24	7.08	42.30	15.58	31.30
01/13/05	26.27	14.08	15.68	195.33	19.95	35.33	18.32	40.29	34.90	94.45	5.49	18.78	44.50	22.82	15.16	39.07	7.15	42.60	15.41	31.01
01/14/05	26.12	14.06	15.96	199.97	20.07	36.70	16.88	40.29	35.10	94.10	5.50	18.88	44.89	23.02	15.16	39.45	7.17	44.55	15.75	31.89
01/18/05	26.32	14.08	15.92	203.90	20.43	37.18	17.80	40.30	35.32	94.90	5.60	18.74	45.73	22.94	15.50	39.30	7.29	44.58	16.89	31.73
01/19/05	25.98	13.93	15.24	197.30	20.28	36.45	16.68	40.06	34.94	93.10	5.65	18.15	44.97	22.60	15.50	38.80	7.12	43.96	16.37	31.87
01/20/05	25.86	13.46	15.16	193.92	20.02	35.78	16.96	40.10	35.23	93.00	5.45	18.32	45.31	22.58	15.64	37.11	7.14	42.36	13.90	31.72
01/21/05	25.65	13.11	15.16	188.28	19.99	35.30	16.68	40.04	35.24	92.38	5.25	18.01	45.09	22.42	15.49	36.55	7.15	41.16	14.49	31.92
01/24/05	25.67	13.07	14.60	180.72	19.89	33.93	16.36	40.00	35.38	91.79	5.60	17.75	45.22	21.99	15.16	36.60	6.86	40.38	13.19	31.72
01/25/05	26.02	13.23	14.88	177.12	19.66	34.04	16.56	40.35	36.02	92.19	5.45	17.51	45.59	22.26	15.75	36.34	6.98	40.94	13.56	31.55
01/26/05	26.01	13.35	15.12	189.24	19.59	35.47	16.60	40.45	36.12	91.95	5.45	17.69	45.77	22.42	15.98	36.94	7.07	41.34	13.76	31.66
01/27/05	26.11	13.19	15.60	188.08	19.49	34.73	16.48	40.78	36.32	91.98	5.30	18.18	45.53	22.31	16.12	36.89	7.64	42.31	13.58	32.29
01/28/05	26.18	13.14	15.60	190.34	19.34	34.62	17.04	41.06	36.99	92.89	5.15	17.90	45.70	22.24	15.71	36.60	7.63	42.22	13.60	32.70
01/31/05	26.28	13.17	15.40	195.62	19.59	35.21	17.44	41.76	38.45	93.42	5.25	18.04	46.37	22.45	15.80	37.02	7.64	43.22	13.72	33.09
02/01/05	26.39	13.08	15.24	191.90	19.82	34.75	17.68	41.62	38.76	93.86	5.45	18.13	46.68	22.63	16.27	37.12	7.79	42.48	13.14	33.15
02/02/05	26.46	13.27	14.84	205.96	19.57	35.54	17.56	41.45	39.82	94.30	5.45	18.15	46.73	22.58	16.66	36.99	8.22	41.88	12.90	33.80
02/03/05	26.18	13.11	14.60	210.86	19.90	35.09	17.04	41.17	38.90	93.54	5.40	17.52	46.40	22.38	16.67	36.65	8.13	35.75	13.10	33.70
02/04/05	26.32	13.22	14.08	204.36	20.45	35.02	17.28	41.51	39.42	94.51	5.25	17.90	46.89	23.00	17.49	36.90	8.60	35.72	13.16	34.32
02/07/05	26.16	13.42	14.24	196.03	20.37	34.47	17.20	41.44	39.47	94.53	5.65	18.16	46.64	22.91	17.22	36.94	8.50	35.69	13.35	34.65
02/08/05	26.24	13.16	14.64	198.64	20.14	34.36	17.00	41.02	40.45	94.13	5.95	18.24	46.89	23.41	17.64	37.11	8.58	36.30	13.57	34.76
02/09/05	26.07	13.12	14.12	191.58	21.53	33.59	16.80	40.99	39.37	92.70	5.95	17.63	46.44	23.30	17.94	37.20	8.28	35.89	13.01	34.13
02/10/05	26.06	13.10	13.68	187.98	21.48	33.44	16.96	41.57	39.18	92.76	5.90	17.58	46.93	23.50	17.75	37.49	8.47	35.78	13.24	34.08
02/11/05	25.97	13.06	13.72	187.40	21.30	34.15	17.20	39.99	40.60	93.30	5.85	17.70	46.82	24.17	18.11	37.74	8.72	35.78	13.18	34.71
